algo,dimension,time,f(x),rapport
conv,4,9,49.00000000000001,0.18367346938775508
conv,4,7,49.00000000000001,0.14285714285714285
conv,4,10,49.00000000000001,0.2040816326530612
conv,4,9,49.00000000000001,0.18367346938775508
conv,4,8,49.00000000000001,0.16326530612244897
conv,4,7,49.00000000000001,0.14285714285714285
conv,4,9,49.00000000000001,0.18367346938775508
conv,4,8,49.00000000000001,0.16326530612244897
conv,4,8,49.00000000000001,0.16326530612244897
conv,4,6,49.00000000000001,0.12244897959183672
conv,8,9,343.00000000000006,0.02623906705539358
conv,8,9,343.00000000000006,0.02623906705539358
conv,8,8,343.00000000000006,0.02332361516034985
conv,8,8,343.00000000000006,0.02332361516034985
conv,8,7,343.00000000000006,0.020408163265306117
conv,8,7,343.00000000000006,0.020408163265306117
conv,8,8,343.00000000000006,0.02332361516034985
conv,8,9,343.00000000000006,0.02623906705539358
conv,8,7,343.00000000000006,0.020408163265306117
conv,8,9,343.00000000000006,0.02623906705539358
conv,16,8,2401.0000000000005,0.0033319450229071213
conv,16,7,2401.0000000000005,0.0029154518950437313
conv,16,9,2401.0000000000005,0.0037484381507705117
conv,16,6,2401.0000000000005,0.002498958767180341
conv,16,8,2401.0000000000005,0.0033319450229071213
conv,16,10,2401.0000000000005,0.004164931278633902
conv,16,9,2401.0000000000005,0.0037484381507705117
conv,16,10,2401.0000000000005,0.004164931278633902
conv,16,9,2401.0000000000005,0.0037484381507705117
conv,16,6,2401.0000000000005,0.002498958767180341
conv,32,13,16807.000000000004,7.734872374605817E-4
conv,32,13,16807.000000000004,7.734872374605817E-4
conv,32,13,16807.000000000004,7.734872374605817E-4
conv,32,12,16807.000000000004,7.139882191943832E-4
conv,32,14,16807.000000000004,8.329862557267803E-4
conv,32,8,16807.000000000004,4.7599214612958874E-4
conv,32,11,16807.000000000004,6.544892009281845E-4
conv,32,12,16807.000000000004,7.139882191943832E-4
conv,32,13,16807.000000000004,7.734872374605817E-4
conv,32,13,16807.000000000004,7.734872374605817E-4
conv,64,23,117649.00000000003,1.9549677430322394E-4
conv,64,20,117649.00000000003,1.699971950462817E-4
conv,64,24,117649.00000000003,2.0399663405553804E-4
conv,64,17,117649.00000000003,1.4449761578933944E-4
conv,64,17,117649.00000000003,1.4449761578933944E-4
conv,64,17,117649.00000000003,1.4449761578933944E-4
conv,64,22,117649.00000000003,1.8699691455090987E-4
conv,64,16,117649.00000000003,1.3599775603702536E-4
conv,64,19,117649.00000000003,1.6149733529396761E-4
conv,64,22,117649.00000000003,1.8699691455090987E-4
conv,128,28,823543.0000000002,3.399943900925634E-5
conv,128,28,823543.0000000002,3.399943900925634E-5
conv,128,30,823543.0000000002,3.642797036706036E-5
conv,128,24,823543.0000000002,2.914237629364829E-5
conv,128,32,823543.0000000002,3.885650172486439E-5
conv,128,30,823543.0000000002,3.642797036706036E-5
conv,128,29,823543.0000000002,3.521370468815835E-5
conv,128,33,823543.0000000002,4.0070767403766395E-5
conv,128,30,823543.0000000002,3.642797036706036E-5
conv,128,36,823543.0000000002,4.3713564440472436E-5
strassen,4,11,49.00000000000001,0.22448979591836732
strassen,4,9,49.00000000000001,0.18367346938775508
strassen,4,17,49.00000000000001,0.346938775510204
strassen,4,11,49.00000000000001,0.22448979591836732
strassen,4,9,49.00000000000001,0.18367346938775508
strassen,4,9,49.00000000000001,0.18367346938775508
strassen,4,9,49.00000000000001,0.18367346938775508
strassen,4,7,49.00000000000001,0.14285714285714285
strassen,4,12,49.00000000000001,0.24489795918367344
strassen,4,10,49.00000000000001,0.2040816326530612
strassen,8,7,343.00000000000006,0.020408163265306117
strassen,8,10,343.00000000000006,0.029154518950437313
strassen,8,7,343.00000000000006,0.020408163265306117
strassen,8,7,343.00000000000006,0.020408163265306117
strassen,8,10,343.00000000000006,0.029154518950437313
strassen,8,10,343.00000000000006,0.029154518950437313
strassen,8,9,343.00000000000006,0.02623906705539358
strassen,8,13,343.00000000000006,0.03790087463556851
strassen,8,16,343.00000000000006,0.0466472303206997
strassen,8,10,343.00000000000006,0.029154518950437313
strassen,16,16,2401.0000000000005,0.006663890045814243
strassen,16,19,2401.0000000000005,0.007913369429404413
strassen,16,19,2401.0000000000005,0.007913369429404413
strassen,16,15,2401.0000000000005,0.006247396917950853
strassen,16,14,2401.0000000000005,0.005830903790087463
strassen,16,15,2401.0000000000005,0.006247396917950853
strassen,16,15,2401.0000000000005,0.006247396917950853
strassen,16,15,2401.0000000000005,0.006247396917950853
strassen,16,16,2401.0000000000005,0.006663890045814243
strassen,16,18,2401.0000000000005,0.0074968763015410235
strassen,32,61,16807.000000000004,0.0036294401142381145
strassen,32,52,16807.000000000004,0.0030939489498423268
strassen,32,62,16807.000000000004,0.0036889391325043127
strassen,32,45,16807.000000000004,0.0026774558219789368
strassen,32,56,16807.000000000004,0.0033319450229071213
strassen,32,51,16807.000000000004,0.003034449931576128
strassen,32,49,16807.000000000004,0.0029154518950437313
strassen,32,47,16807.000000000004,0.002796453858511334
strassen,32,45,16807.000000000004,0.0026774558219789368
strassen,32,37,16807.000000000004,0.002201463675849348
strassen,64,210,117649.00000000003,0.0017849705479859577
strassen,64,206,117649.00000000003,0.0017509711089767014
strassen,64,211,117649.00000000003,0.0017934704077382719
strassen,64,199,117649.00000000003,0.0016914720907105028
strassen,64,236,117649.00000000003,0.002005966901546124
strassen,64,234,117649.00000000003,0.001988967182041496
strassen,64,221,117649.00000000003,0.0018784690052614126
strassen,64,239,117649.00000000003,0.002031466480803066
strassen,64,230,117649.00000000003,0.0019549677430322396
strassen,64,224,117649.00000000003,0.001903968584518355
strassen,128,1101,823543.0000000002,0.0013369065124711154
strassen,128,1074,823543.0000000002,0.001304121339140761
strassen,128,1445,823543.0000000002,0.0017546139060134074
strassen,128,1058,823543.0000000002,0.0012846930882783288
strassen,128,887,823543.0000000002,0.0010770536571860848
strassen,128,956,823543.0000000002,0.0011608379890303236
strassen,128,933,823543.0000000002,0.0011329098784155773
strassen,128,1063,823543.0000000002,0.0012907644166728388
strassen,128,842,823543.0000000002,0.0010224117016354943
strassen,128,881,823543.0000000002,0.0010697680631126727
strassenSeuil,4,10,49.00000000000001,0.2040816326530612
strassenSeuil,4,10,49.00000000000001,0.2040816326530612
strassenSeuil,4,10,49.00000000000001,0.2040816326530612
strassenSeuil,4,6,49.00000000000001,0.12244897959183672
strassenSeuil,4,7,49.00000000000001,0.14285714285714285
strassenSeuil,4,10,49.00000000000001,0.2040816326530612
strassenSeuil,4,9,49.00000000000001,0.18367346938775508
strassenSeuil,4,10,49.00000000000001,0.2040816326530612
strassenSeuil,4,8,49.00000000000001,0.16326530612244897
strassenSeuil,4,9,49.00000000000001,0.18367346938775508
strassenSeuil,8,10,343.00000000000006,0.029154518950437313
strassenSeuil,8,9,343.00000000000006,0.02623906705539358
strassenSeuil,8,9,343.00000000000006,0.02623906705539358
strassenSeuil,8,10,343.00000000000006,0.029154518950437313
strassenSeuil,8,10,343.00000000000006,0.029154518950437313
strassenSeuil,8,12,343.00000000000006,0.034985422740524776
strassenSeuil,8,10,343.00000000000006,0.029154518950437313
strassenSeuil,8,10,343.00000000000006,0.029154518950437313
strassenSeuil,8,7,343.00000000000006,0.020408163265306117
strassenSeuil,8,8,343.00000000000006,0.02332361516034985
strassenSeuil,16,9,2401.0000000000005,0.0037484381507705117
strassenSeuil,16,10,2401.0000000000005,0.004164931278633902
strassenSeuil,16,10,2401.0000000000005,0.004164931278633902
strassenSeuil,16,10,2401.0000000000005,0.004164931278633902
strassenSeuil,16,13,2401.0000000000005,0.005414410662224072
strassenSeuil,16,15,2401.0000000000005,0.006247396917950853
strassenSeuil,16,10,2401.0000000000005,0.004164931278633902
strassenSeuil,16,11,2401.0000000000005,0.004581424406497292
strassenSeuil,16,12,2401.0000000000005,0.004997917534360682
strassenSeuil,16,11,2401.0000000000005,0.004581424406497292
strassenSeuil,32,16,16807.000000000004,9.519842922591775E-4
strassenSeuil,32,15,16807.000000000004,8.92485273992979E-4
strassenSeuil,32,16,16807.000000000004,9.519842922591775E-4
strassenSeuil,32,10,16807.000000000004,5.949901826619859E-4
strassenSeuil,32,16,16807.000000000004,9.519842922591775E-4
strassenSeuil,32,16,16807.000000000004,9.519842922591775E-4
strassenSeuil,32,12,16807.000000000004,7.139882191943832E-4
strassenSeuil,32,10,16807.000000000004,5.949901826619859E-4
strassenSeuil,32,17,16807.000000000004,0.0010114833105253761
strassenSeuil,32,16,16807.000000000004,9.519842922591775E-4
strassenSeuil,64,30,117649.00000000003,2.549957925694225E-4
strassenSeuil,64,25,117649.00000000003,2.1249649380785212E-4
strassenSeuil,64,29,117649.00000000003,2.4649593281710845E-4
strassenSeuil,64,31,117649.00000000003,2.6349565232173665E-4
strassenSeuil,64,30,117649.00000000003,2.549957925694225E-4
strassenSeuil,64,22,117649.00000000003,1.8699691455090987E-4
strassenSeuil,64,30,117649.00000000003,2.549957925694225E-4
strassenSeuil,64,28,117649.00000000003,2.3799607306479437E-4
strassenSeuil,64,29,117649.00000000003,2.4649593281710845E-4
strassenSeuil,64,27,117649.00000000003,2.294962133124803E-4
strassenSeuil,128,101,823543.0000000002,1.226408335691032E-4
strassenSeuil,128,93,823543.0000000002,1.1292670813788712E-4
strassenSeuil,128,74,823543.0000000002,8.985566023874889E-5
strassenSeuil,128,90,823543.0000000002,1.0928391110118109E-4
strassenSeuil,128,86,823543.0000000002,1.0442684838557304E-4
strassenSeuil,128,76,823543.0000000002,9.228419159655291E-5
strassenSeuil,128,82,823543.0000000002,9.9569785669965E-5
strassenSeuil,128,113,823543.0000000002,1.3721202171592737E-4
strassenSeuil,128,84,823543.0000000002,1.0199831702776901E-4
strassenSeuil,128,80,823543.0000000002,9.714125431216097E-5
strassen,32,39,16807.000000000004,0.0023204617123817454
